Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,Open,In Spec,Ready for Dev,In Dev,Ready for Test,In Test,On Hold,Resolved,Closed,Resolution 
Shared Test, Integration and Delivery Porsche Connect,,STID-616,Feature,Resolved,24.11.2020 10:54:49,Konfigurationsmanagement|,,24.11.2020 11:19:07,12.01.2021 16:25:03,0,24,69053,1812,0,0,0,780249,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-615,Feature,Resolved,24.11.2020 10:54:03,Konfigurationsmanagement|,,24.11.2020 11:19:22,08.02.2021 09:58:47,0,25,69052,40306,0,0,0,741755,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-614,Feature,Resolved,24.11.2020 10:53:07,Testinfrastruktur|,,24.11.2020 11:04:34,11.01.2021 11:42:46,0,11,69157,1,0,0,0,781971,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-613,Feature,Resolved,24.11.2020 10:51:20,Testinfrastruktur|,,12.10.2021 13:31:54,12.10.2021 13:31:54,0,463840,0,0,0,0,0,387302,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-612,Feature,Resolved,24.11.2020 10:50:59,Konfigurationsmanagement|,,24.11.2020 11:17:28,11.01.2021 10:22:21,0,26,1239,67691,0,0,132,782051,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-611,Feature,Resolved,24.11.2020 10:50:27,CC-HelpDesk​|,,24.11.2020 10:50:34,16.08.2021 15:18:46,0,164599,0,217268,0,0,0,469275,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-610,Feature,Resolved,24.11.2020 10:47:44,Verbundintegration Rel 4|,,24.11.2020 11:32:51,15.02.2021 14:03:19,0,119715,0,0,0,0,0,731430,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-609,Feature,Resolved,24.11.2020 10:45:37,Testinfrastruktur|,,24.11.2020 11:01:11,15.02.2021 15:25:19,0,15,69131,50651,0,0,0,731348,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-608,Feature,Resolved,24.11.2020 10:41:57,Verbundintegration Rel 3.x|,,24.11.2020 11:31:16,10.02.2021 16:24:54,0,112662,0,0,0,0,0,738489,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-607,Feature,Resolved,24.11.2020 10:40:02,Testinfrastruktur|,,24.11.2020 11:02:27,16.02.2021 10:58:56,0,22,69110,51845,0,0,0,730175,0,Done 
